,time,Method,blood,count,aif,backg,bpr,parentFraction,disp_fct,t_G,vol,delta,disp_aif
1,0.016666667,Continuous,1.2538,0,-0.108136288,9.75,0.88224378,0.999999895,-0.073695964,0.016666667,0.083333333,1,0
2,0.033333333,Continuous,0.177765,0,-0.108204259,9.75,0.882198603,0.999999429,-0.51978736,0.033333333,0.083333333,1,0
3,0.05,Continuous,-0.05051,3,0.127958076,9.75,0.882153427,0.999998464,-1.621461097,0.05,0.083333333,1,-0.072844885
4,0.066666667,Continuous,-0.33543,0,-0.147736576,9.75,0.882108251,0.9999969,0.362519751,0.066666667,0.083333333,1,0
5,0.083333333,Continuous,0.194085,0,-0.147829175,9.75,0.882063075,0.999994657,-0.627044851,0.083333333,0.083333333,1,0
6,0.1,Continuous,0.02515,3,0.128198826,9.75,0.882017899,0.999991663,3.264413519,0.1,0.083333333,1,0.036250732
7,0.116666667,Continuous,-0.09551,0,-0.108543753,9.75,0.881972723,0.999987856,0.970578997,0.116666667,0.083333333,1,0
8,0.133333333,Continuous,0.191435,1,0.049368874,9.75,0.881927547,0.999983178,0.124846554,0.133333333,0.083333333,1,0.316349136
9,0.15,Continuous,0.08371,2,0.088919375,9.75,0.88188237,0.999977578,0.633138215,0.15,0.083333333,1,0.124837583
10,0.166666667,Continuous,-0.218355,2,0.088974725,9.75,0.881837194,0.999971005,-0.243181974,0.166666667,0.083333333,1,-0.325224123
11,0.183333333,Continuous,0.101435,0,-0.148383364,9.75,0.881792018,0.999963413,-1.203726524,0.183333333,0.083333333,1,0
12,0.2,Continuous,0.23565,5,0.207865589,9.75,0.881746842,0.999954759,0.597496287,0.2,0.083333333,1,0.331327963
13,0.216666667,Continuous,0.17318,1,0.049522457,9.75,0.881701666,0.999945001,0.138006698,0.216666667,0.083333333,1,0.287072772
14,0.233333333,Continuous,0.11165,7,0.287407801,9.75,0.88165649,0.999934101,1.7859382,0.233333333,0.083333333,1,0.155378942
15,0.25,Continuous,-0.16022,1,0.049583642,9.75,0.881611314,0.999922019,-0.149169891,0.25,0.083333333,1,-0.265917694
16,0.266666667,Continuous,-0.20297,1,0.049614173,9.75,0.881566137,0.99990872,-0.118244075,0.266666667,0.083333333,1,-0.335672959
17,0.283333333,Continuous,-0.094665,0,-0.148933985,9.75,0.881520961,0.999894169,1.294036867,0.283333333,0.083333333,1,0
18,0.3,Continuous,0.11776,0,0.009935021,9.75,0.881475785,0.999878332,-0.045006793,0.3,0.083333333,1,0
19,0.316666667,Continuous,0.1311,0,0.0099411,9.75,0.881430609,0.999861176,-0.040427155,0.316666667,0.083333333,1,0
20,0.333333333,Continuous,0.129685,3,0.129313207,9.75,0.881385433,0.999842669,0.63769904,0.333333333,0.083333333,1,0.187182401
21,0.35,Continuous,0.159345,2,0.089579064,9.75,0.881340257,0.999822782,0.335121905,0.35,0.083333333,1,0.237602597
22,0.366666667,Continuous,0.279935,5,0.20914485,9.75,0.88129508,0.999801484,0.505831711,0.366666667,0.083333333,1,0.39377834
23,0.383333333,Continuous,-0.025775,6,0.249132929,9.75,0.881249904,0.999778745,-6.638215325,0.383333333,0.083333333,1,-0.036028902
24,0.4,Continuous,0.280345,1,0.049856724,9.75,0.881204728,0.999754539,0.085965507,0.4,0.083333333,1,0.463969568
25,0.416666667,Continuous,0.47616,10,0.409071805,9.75,0.881159552,0.999728837,0.606938844,0.416666667,0.083333333,1,0.657552978
26,0.433333333,Continuous,-0.150945,8,0.329451075,9.75,0.881114376,0.999701612,-1.525721289,0.433333333,0.083333333,1,-0.209387986
27,0.45,Continuous,0.081785,1,0.049946794,9.75,0.8810692,0.999672839,0.294675063,0.45,0.083333333,1,0.135598293
28,0.466666667,Continuous,0.34133,7,0.28986485,9.75,0.881024024,0.999642491,0.588872938,0.466666667,0.083333333,1,0.475262985
29,0.483333333,Continuous,0.186815,6,0.250032702,9.75,0.880978847,0.999610543,0.919091079,0.483333333,0.083333333,1,0.261161705
30,0.5,Continuous,0.14093,7,0.29021065,9.75,0.880933671,0.999576971,1.428368694,0.5,0.083333333,1,0.19617021
31,0.516666667,Continuous,0.080505,5,0.210277338,9.75,0.880888495,0.99954175,1.767592075,0.516666667,0.083333333,1,0.113297708
32,0.533333333,Continuous,0.188385,5,0.210401859,9.75,0.880843319,0.999504858,0.755898824,0.533333333,0.083333333,1,0.265091989
33,0.55,Continuous,0.203235,6,0.250626305,9.75,0.880798143,0.99946627,0.846310921,0.55,0.083333333,1,0.284294161
34,0.566666667,Continuous,0.26412,6,0.250773864,9.75,0.880752967,0.999425964,0.651597759,0.566666667,0.083333333,1,0.369465527
35,0.583333333,Continuous,0.431615,8,0.331215816,9.75,0.880707791,0.999383918,0.536125946,0.583333333,0.083333333,1,0.599073735
36,0.6,Continuous,0.781665,11,0.451922265,9.75,0.880662614,0.99934011,0.409894264,0.6,0.083333333,1,1.078033012
37,0.616666667,Continuous,1.81855,19,0.7737404,9.75,0.880617438,0.999294518,0.306672899,0.616666667,0.083333333,1,2.490248816
38,0.633333333,Continuous,3.69048,41,1.658979547,9.75,0.880572262,0.999247121,0.327979016,0.633333333,0.083333333,1,5.027532383
39,0.65,Continuous,5.70279,80,3.229340698,9.75,0.880527086,0.999197899,0.415287956,0.65,0.083333333,1,7.751923463
40,0.666666667,Continuous,10.560725,126,5.083363369,9.75,0.88048191,0.99914683,0.353687839,0.666666667,0.083333333,1,14.34399702
41,0.683333333,Continuous,15.984395,243,9.799924941,9.75,0.880436734,0.999093895,0.4512401,0.683333333,0.083333333,1,21.69544124
42,0.7,Continuous,18.141975,354,14.28002841,9.75,0.880391557,0.999039074,0.579655743,0.7,0.083333333,1,24.6179753
43,0.716666667,Continuous,23.589925,444,17.91823106,9.75,0.880346381,0.998982347,0.55948885,0.716666667,0.083333333,1,32.00805103
44,0.733333333,Continuous,29.555525,608,24.54694561,9.75,0.880301205,0.998923695,0.61191943,0.733333333,0.083333333,1,40.09818164
45,0.75,Continuous,34.89147,745,30.09290598,9.75,0.880256029,0.998863099,0.635536422,0.75,0.083333333,1,47.33451938
46,0.766666667,Continuous,41.147215,927,37.46320535,9.75,0.880210853,0.998800541,0.670981013,0.766666667,0.083333333,1,55.81842705
47,0.783333333,Continuous,52.74354,1096,44.31622742,9.75,0.880165677,0.998736002,0.619262568,0.783333333,0.083333333,1,71.54658367
48,0.8,Continuous,61.12206,1415,57.24407669,9.75,0.880120501,0.998669464,0.69033668,0.8,0.083333333,1,82.90732089
49,0.816666667,Continuous,63.46943,1607,65.04653445,9.75,0.880075324,0.99860091,0.755455028,0.816666667,0.083333333,1,86.08906473
