//Heading
System ID:	ABSS07021
User name:	karols1
Run number:	KIH11003

HalfTime:	20.3
Tube length:	
Pump speed:	
DeadTimeSingles:	2.0E-6
DeadTimeCoincidents:	2.0E-6
DiscriminatorSingles:	115
DiscriminatorCoincidents:	230
EffectivitySingles:	0.8090312936807411
EffectivityCoincidents:	0.561374808926122
//Data
Absolute time	Time after start [s]	Singles [cnt]	Coincidents [cnt]	Singles count rate [kBq/ml]	Coincidents count rate [kBq/ml]	Singles count rate DTC [kBq/ml]	Coincidents count rate DTC [kBq/ml]	Singles DTC&decay [kBq/ml]	Coincidents DTC&decay [kBq/ml]
2013-12-06 15:27:11	0.0	22	7	0.769404919168586	0.352811488263178	0.7694467663233039	0.35282028716890335	0.7694467663233039	0.35282028716890335
2013-12-06 15:27:12	1.0	21	10	0.7344319682972866	0.5040164118045399	0.7344700975320113	0.5040343689469315	0.7348881933978173	0.5043212896624093
2013-12-06 15:27:13	2.0	18	7	0.6295131156833886	0.352811488263178	0.6295411287909328	0.35282028716890335	0.6302580632439403	0.3532220862063661
2013-12-06 15:27:14	3.0	19	5	0.6644860665546879	0.25200820590226997	0.6645172787671083	0.252012695107897	0.6656527509121675	0.25244331355024535
2013-12-06 15:27:15	4.0	9	2	0.3147565578416943	0.100803282360908	0.31476356096276215	0.10080400062613135	0.31548088768526766	0.10103372672010301
2013-12-06 15:27:16	5.0	19	7	0.6644860665546879	0.352811488263178	0.6645172787671083	0.35282028716890335	0.6664108100270417	0.35382564288235074
2013-12-06 15:27:17	6.0	21	9	0.7344319682972866	0.45361477062408595	0.7344700975320113	0.45362931585760125	0.7369822454431403	0.45518088881079266
2013-12-06 15:27:18	7.0	6	0	0.20983770522779618	0.0	0.2098408177029651	0.0	0.21067840773175567	0.0
2013-12-06 15:27:19	8.0	18	7	0.6295131156833886	0.352811488263178	0.6295411287909328	0.35282028716890335	0.6324137690818918	0.3544302308660461
2013-12-06 15:27:20	9.0	15	5	0.5245942630694904	0.25200820590226997	0.5246137164721179	0.252012695107897	0.5273075637960017	0.2533067591077224
