,time,Method,blood,count,aif,backg,bpr,parentFraction,disp_fct,t_G,vol,delta,disp_aif
1,0.016666667,Continuous,0.103,0,-0.144527997,9.05,0.9721436,0.999999924,-0.848543689,0.016666667,0.083333333,1,0
2,0.033333333,Continuous,-0.00134,0,-0.073201015,9.05,0.972108751,0.999999589,2.014925373,0.033333333,0.083333333,1,0
3,0.05,Continuous,-0.074815,1,0.033943215,9.05,0.972073901,0.999998895,0.79128517,0.05,0.083333333,1,0.045154012
4,0.066666667,Continuous,-0.08912,0,-0.037539165,9.05,0.972039051,0.999997771,0.347845601,0.066666667,0.083333333,1,0
5,0.083333333,Continuous,-0.23476,0,-0.001788673,9.05,0.972004202,0.999996161,0.373147044,0.083333333,0.083333333,1,0
6,0.1,Continuous,0.05956,0,-0.073380454,9.05,0.971969352,0.999994012,-2.421087979,0.1,0.083333333,1,0
7,0.116666667,Continuous,0.11616,0,-0.145059709,9.05,0.971934502,0.999991281,0.220385675,0.116666667,0.083333333,1,0
8,0.133333333,Continuous,-0.31022,2,0.06988619,9.05,0.971899653,0.999987926,0.099929083,0.133333333,0.083333333,1,0.71729012
9,0.15,Continuous,-0.102055,0,-0.001793046,9.05,0.971864803,0.999983911,1.693204645,0.15,0.083333333,1,0
10,0.166666667,Continuous,0.073665,0,-0.181207932,9.05,0.971829953,0.999979199,-0.422181497,0.166666667,0.083333333,1,0
11,0.183333333,Continuous,-0.0453,0,-0.001795229,9.05,0.971795104,0.999973759,1.313465784,0.183333333,0.083333333,1,0
12,0.2,Continuous,0.04274,0,-0.037722714,9.05,0.971760254,0.999967559,-0.727655592,0.2,0.083333333,1,0
13,0.216666667,Continuous,0.29155,0,-0.00179741,9.05,0.971725404,0.999960569,-0.009260847,0.216666667,0.083333333,1,0
14,0.233333333,Continuous,-0.04977,1,0.034171472,9.05,0.971690555,0.999952762,-3.373518184,0.233333333,0.083333333,1,-0.01066245
15,0.25,Continuous,-0.180355,7,0.250142542,9.05,0.971655705,0.999944111,0.488481051,0.25,0.083333333,1,0.515766432
16,0.266666667,Continuous,0.454465,0,-0.073827628,9.05,0.971620855,0.999934589,0.056770048,0.266666667,0.083333333,1,0
17,0.283333333,Continuous,0.258025,2,0.070268645,9.05,0.971586005,0.999924173,0.872783645,0.283333333,0.083333333,1,0.082575338
18,0.3,Continuous,0.30124,9,0.322709324,9.05,0.971551156,0.999912837,0.369472846,0.3,0.083333333,1,0.878311285
19,0.316666667,Continuous,0.211305,5,0.178589031,9.05,0.971516306,0.999900559,1.471806157,0.316666667,0.083333333,1,0.122565706
20,0.333333333,Continuous,-0.142355,12,0.431398046,9.05,0.971481456,0.999887316,-0.782550666,0.333333333,0.083333333,1,-0.553578289
21,0.35,Continuous,0.05313,5,0.17880338,9.05,0.971446607,0.999873086,1.560323734,0.35,0.083333333,1,0.115751283
22,0.366666667,Continuous,-0.09406,4,0.142766871,9.05,0.971411757,0.999857848,-0.882415479,0.366666667,0.083333333,1,-0.163838974
23,0.383333333,Continuous,-0.239975,4,0.142852161,9.05,0.971376907,0.999841581,0.130430253,0.383333333,0.083333333,1,1.109101705
24,0.4,Continuous,0.16175,0,-0.001809334,9.05,0.971342058,0.999824266,-0.547140649,0.4,0.083333333,1,0
25,0.416666667,Continuous,0.23325,0,-0.074226837,9.05,0.971307208,0.999805883,0.478885316,0.416666667,0.083333333,1,0
26,0.433333333,Continuous,-0.09422,5,0.179337154,9.05,0.971272358,0.999786412,-0.578433454,0.433333333,0.083333333,1,-0.313171099
27,0.45,Continuous,0.07054,3,0.106941087,9.05,0.971237509,0.999765834,-0.038276155,0.45,0.083333333,1,-2.841289743
28,0.466666667,Continuous,-0.04867,1,0.034459042,9.05,0.971202659,0.999744133,-1.711526608,0.466666667,0.083333333,1,-0.021193171
29,0.483333333,Continuous,0.18954,4,0.143361721,9.05,0.971167809,0.999721289,-0.317083465,0.483333333,0.083333333,1,-0.457849249
30,0.5,Continuous,0.15797,0,-0.038131284,9.05,0.97113296,0.999697285,1.254035576,0.5,0.083333333,1,0
31,0.516666667,Continuous,0.27626,8,0.288878193,9.05,0.97109811,0.999672103,-0.009773402,0.516666667,0.083333333,1,-29.74348552
32,0.533333333,Continuous,0.378035,1,0.034540309,9.05,0.97106326,0.999645728,0.828759242,0.533333333,0.083333333,1,0.043870666
33,0.55,Continuous,-0.218165,12,0.434735375,9.05,0.971028411,0.999618143,-0.646299819,0.55,0.083333333,1,-0.675467235
