,time,Method,blood,count,aif,backg,bpr,parentFraction,disp_fct,t_G,vol,delta,disp_aif
1,0.016666667,Continuous,-0.17079,4,0.121211785,7.35,1.044660872,0.999999757,0.719597166,0.016666667,0.083333333,1,0.184596103
2,0.033333333,Continuous,0.166355,0,-0.17778913,7.35,1.044542941,0.999998725,0.109404587,0.033333333,0.083333333,1,0
3,0.05,Continuous,0.149795,0,-0.011639075,7.35,1.044425009,0.999996635,0.121499382,0.05,0.083333333,1,0
4,0.066666667,Continuous,-0.114655,0,-0.011647076,7.35,1.044307078,0.999993303,-0.899219397,0.066666667,0.083333333,1,0
5,0.083333333,Continuous,-0.12734,3,0.088245504,7.35,1.044189147,0.999988577,0.74524894,0.083333333,0.083333333,1,0.134049933
6,0.1,Continuous,0.268755,0,-0.144954989,7.35,1.044071216,0.999982331,0.068091756,0.1,0.083333333,1,0
7,0.116666667,Continuous,0.32425,0,-0.01167101,7.35,1.043953284,0.99997445,0.318272938,0.116666667,0.083333333,1,0
8,0.133333333,Continuous,-0.029865,3,0.088426416,7.35,1.043835353,0.999964832,-6.305039344,0.133333333,0.083333333,1,-0.015877042
9,0.15,Continuous,-0.306305,6,0.188659879,7.35,1.043717422,0.999953384,0.03297367,0.15,0.083333333,1,6.075962252
10,0.166666667,Continuous,0.09361,0,-0.045108564,7.35,1.043599491,0.999940019,-0.713598974,0.166666667,0.083333333,1,0
11,0.183333333,Continuous,0.224095,0,-0.112011679,7.35,1.043481559,0.999924657,0.335125728,0.183333333,0.083333333,1,0
12,0.2,Continuous,0.031235,2,0.055207085,7.35,1.043363628,0.999907221,2.40435409,0.2,0.083333333,1,0.027831873
13,0.216666667,Continuous,-0.07111,2,0.055244145,7.35,1.043245697,0.999887639,-0.658135283,0.216666667,0.083333333,1,-0.101745951
14,0.233333333,Continuous,0.19474,1,0.021777407,7.35,1.043127766,0.999865843,-0.051864024,0.233333333,0.083333333,1,-0.645991187
15,0.25,Continuous,0.20762,0,-0.045260159,7.35,1.043009835,0.999841768,0.773528562,0.25,0.083333333,1,0
16,0.266666667,Continuous,-0.146635,5,0.155999695,7.35,1.042891903,0.999815352,-0.513519965,0.266666667,0.083333333,1,-0.326650606
17,0.283333333,Continuous,-0.055595,2,0.055391381,7.35,1.042773972,0.999786534,0.181671014,0.283333333,0.083333333,1,0.369575018
18,0.3,Continuous,0.00415,0,-0.045350117,7.35,1.042656041,0.999755258,4.43373494,0.3,0.083333333,1,0
19,0.316666667,Continuous,0.048325,0,-0.011765164,7.35,1.04253811,0.999721467,-0.209001552,0.316666667,0.083333333,1,0
20,0.333333333,Continuous,-0.070105,0,-0.045409624,7.35,1.042420178,0.99968511,-0.668996505,0.333333333,0.083333333,1,0
21,0.35,Continuous,-0.14283,1,0.021878148,7.35,1.042302247,0.999646133,0.470489393,0.35,0.083333333,1,0.071539741
22,0.366666667,Continuous,-0.008775,0,-0.112829824,7.35,1.042184316,0.999604486,4.41025641,0.366666667,0.083333333,1,0
23,0.383333333,Continuous,0.00563,0,-0.079200459,7.35,1.042066385,0.999560122,-6.873889876,0.383333333,0.083333333,1,0
24,0.4,Continuous,0.019775,0,-0.079251452,7.35,1.041948453,0.999512993,-0.510745891,0.4,0.083333333,1,0
25,0.416666667,Continuous,0.255985,0,-0.045556616,7.35,1.041830522,0.999463053,-0.039846085,0.416666667,0.083333333,1,0
26,0.433333333,Continuous,0.209,0,-0.04558569,7.35,1.041712591,0.999410258,0.773205742,0.433333333,0.083333333,1,0
27,0.45,Continuous,-0.103105,5,0.157117131,7.35,1.04159466,0.999354564,-0.735172882,0.45,0.083333333,1,-0.229800576
28,0.466666667,Continuous,0.13612,2,0.055786496,7.35,1.041476729,0.999295929,0.135909492,0.466666667,0.083333333,1,0.497536958
29,0.483333333,Continuous,0.07585,0,-0.011840947,7.35,1.041358797,0.999234311,1.756097561,0.483333333,0.083333333,1,0
30,0.5,Continuous,-0.190905,4,0.123561511,7.35,1.041240866,0.999169671,-0.096906838,0.5,0.083333333,1,-1.397320117
