,time,Method,blood,count,aif,backg,bpr,parentFraction,disp_fct,t_G,vol,delta,disp_aif
1,0.016666667,Continuous,0.25522,0,-0.398429677,14.5,0.827178652,0.999999944,0.473708957,0.016666667,0.083333333,1,0
2,0.033333333,Continuous,-0.112575,0,-0.14687917,14.5,0.8271532,0.999999643,-0.822562736,0.033333333,0.083333333,1,0
3,0.05,Continuous,0.12404,0,-0.188959441,14.5,0.827127749,0.999998942,-0.16607546,0.05,0.083333333,1,0
4,0.066666667,Continuous,0.24017,0,-0.357140166,14.5,0.827102298,0.999997712,0.622059375,0.066666667,0.083333333,1,0
5,0.083333333,Continuous,0.16543,0,-0.105104954,14.5,0.827076847,0.999995838,0.560962341,0.083333333,0.083333333,1,0
6,0.1,Continuous,0.39952,0,-0.189303557,14.5,0.827051396,0.999993214,0.445534642,0.1,0.083333333,1,0
7,0.116666667,Continuous,0.17689,0,-0.063139369,14.5,0.827025944,0.99998974,1.487930352,0.116666667,0.083333333,1,0
8,0.133333333,Continuous,0.074905,2,0.063177515,14.5,0.827000493,0.999985322,1.999866498,0.133333333,0.083333333,1,0.042121155
9,0.15,Continuous,0.2524,0,-0.105359365,14.5,0.826975042,0.99997987,0.706418384,0.15,0.083333333,1,0
10,0.166666667,Continuous,0.325075,0,-0.063253676,14.5,0.826949591,0.999973298,0.636160886,0.166666667,0.083333333,1,0
11,0.183333333,Continuous,0.412155,0,-0.021097226,14.5,0.82692414,0.999965521,0.640050466,0.183333333,0.083333333,1,0
12,0.2,Continuous,0.55771,2,0.063329623,14.5,0.826898689,0.99995646,0.575388643,0.2,0.083333333,1,0.14675211
13,0.216666667,Continuous,0.46692,4,0.14785751,14.5,0.826873237,0.999946036,0.931637111,0.216666667,0.083333333,1,0.181379648
14,0.233333333,Continuous,0.319075,8,0.317026583,14.5,0.826847786,0.999934172,1.185614667,0.233333333,0.083333333,1,0.285220568
15,0.25,Continuous,0.555875,6,0.232624537,14.5,0.826822335,0.999920795,0.680908478,0.25,0.083333333,1,0.372696524
16,0.266666667,Continuous,0.392095,6,0.232762627,14.5,0.826796884,0.99990583,1.256838266,0.266666667,0.083333333,1,0.202033048
17,0.283333333,Continuous,0.15686,10,0.40228253,14.5,0.826771433,0.999889207,2.233839092,0.283333333,0.083333333,1,0.18956392
18,0.3,Continuous,1.222645,4,0.190667354,14.5,0.826745981,0.999870856,0.263363446,0.3,0.083333333,1,0.643529293
19,0.316666667,Continuous,0.57844,4,0.148384093,14.5,0.82672053,0.999850709,1.594460964,0.316666667,0.083333333,1,0.106356834
20,0.333333333,Continuous,-0.144165,24,1.039297911,14.5,0.826695079,0.999828698,-2.037942635,0.333333333,0.083333333,1,-0.499566441
21,0.35,Continuous,0.58767,2,0.106112808,14.5,0.826669628,0.999804757,0.743614614,0.35,0.083333333,1,0.114158927
22,0.366666667,Continuous,0.17143,8,0.318523902,14.5,0.826644177,0.999778822,2.550312081,0.366666667,0.083333333,1,0.133222452
23,0.383333333,Continuous,0.84089,8,0.31870883,14.5,0.826618725,0.999750828,0.315855819,0.383333333,0.083333333,1,1.076301478
24,0.4,Continuous,1.087605,2,0.063778638,14.5,0.826593274,0.999720712,0.692346946,0.4,0.083333333,1,0.122825968
25,0.416666667,Continuous,0.65276,18,0.787056496,14.5,0.826567823,0.999688412,0.97846069,0.416666667,0.083333333,1,0.782642273
26,0.433333333,Continuous,2.107175,14,0.617236223,14.5,0.826542372,0.999653868,0.344157462,0.433333333,0.083333333,1,1.731626599
27,0.45,Continuous,3.636425,18,0.745366163,14.5,0.826516921,0.999617018,0.428497769,0.45,0.083333333,1,1.789186303
28,0.466666667,Continuous,5.780685,46,1.981671995,14.5,0.826491469,0.999577803,0.403879471,0.466666667,0.083333333,1,4.85383347
29,0.483333333,Continuous,10.453575,74,3.134096029,14.5,0.826466018,0.999536165,0.385695803,0.483333333,0.083333333,1,8.181101243
30,0.5,Continuous,16.46287,132,5.653090012,14.5,0.826440567,0.999492045,0.426729969,0.5,0.083333333,1,13.19747383
31,0.516666667,Continuous,27.275845,236,10.09590199,14.5,0.826415116,0.999445385,0.406451203,0.516666667,0.083333333,1,24.78663497
32,0.533333333,Continuous,38.08307,378,16.12403628,14.5,0.826389665,0.99939613,0.493135139,0.533333333,0.083333333,1,32.74030049
33,0.55,Continuous,48.12408,644,27.54364481,14.5,0.826364214,0.999344223,0.540720986,0.55,0.083333333,1,50.89922026
34,0.566666667,Continuous,58.508335,896,38.29169379,14.5,0.826338762,0.999289609,0.604626674,0.566666667,0.083333333,1,63.3664962
35,0.583333333,Continuous,63.888455,1220,52.17471554,14.5,0.826313311,0.999232233,0.688127456,0.583333333,0.083333333,1,75.85238308
36,0.6,Continuous,71.59204,1516,64.91704955,14.5,0.82628786,0.999172041,0.712380874,0.6,0.083333333,1,91.09683932
37,0.616666667,Continuous,80.155135,1760,75.36027148,14.5,0.826262409,0.999108979,0.74253758,0.616666667,0.083333333,1,101.519019
